Designator,Footprint,Quantity,Value,LCSC Part #
"ANT1, ANT2",Texas_SWRA117D_2.4GHz_Left,2,~,N/A
BT1,CONN-TH_S2B-PH-K-S-LF-SN,1,Battery Pimoroni 1200mAh,C173752 
"BT2, BT3",CONN-TH_530480210,2,Battery Gens ace 200mAh 1S 45C 3.7V,C505099
"C1, C11, C13, C16, C19, C2, C20",0402,7,100n,C60474 
"C10, C9",0603,2,22u,C59461
"C12, C14, C23, C3",0402,4,1u,C14445 
"C15, C17",0402,2,4.7u,
C18,0402,1,100n,
"C21, C22",0402,2,18p,C5137554
"C24, C26, C59, C61",0402,4,10u,C15525
"C25, C30, C33, C41, C46, C49, C57, C60",0402,8,100n,C60474
"C27, C32, C43, C48",0402,4,8p,C5448809
"C28, C29, C31, C44, C45, C47",0402,6,4.7u,C307423
"C34, C38, C50, C54",0402,4,1u,C14445
"C35, C51",0402,2,1p,C880647 
"C36, C52",0402,2,100p,C5137573
"C37, C53",0402,2,1.2p,C880658 
"C39, C55",0402,2,NC,N/A
"C4, C5",0402,2,2.2u,C12530
"C40, C42, C56, C58",0402,4,12p,C696888 
"C6, C7",0402,2,4.7u,C307423 
"C63, C64",0402,2,100n,C5448809
C8,0402,1,10u,C15525 
D1,0603,1,LED,
"D10, D8",0603,2,BLUE LED,C7371904
"D11, D7",0603,2,RED LED,C389517 
"D12, D13",LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,2,2758,
D2,0603,1,BLUE RED,C389517
"D3, D4, D5",0603,3,BLUE LED,C7371904 
"D6, D9",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,2,USBLC6-2SC6_C2687116,C2687116
J1,TYPE-C-SMD_C9900025773,1,USB_C_Receptacle,C5156605
J2,HDR-TH_10P-P1.27-V-M-R2-C5-S1.27-1,1,Conn_01x10_Socket,C2935953
"J3, J6",TYPE-C-SMD_C9900025773,2,USB_C_Receptacle,C5156605 
"J4, J7",CONN-SMD_custom1,2,Screw_Terminal_01x01,C2765059
"J5, J8",CONN-SMD_2059-302,2,Screw_Terminal_01x02,C2765060
L1,IND-SMD_L4.5-W4.1,1,4.7u,C22463808
"L2, L4",0402,2,4.7n,C13595
"L3, L5",0402,2,2.2n,C395061 
"P1, P2",USB-C-SMD_TYPE-C-24P-GTJB-040,2,USB_C_Plug,C2763095
"R1, R24, R25, R38, R39, R4",0402,6,5k1,C103086
R10,0402,1,2k,C3016052
"R11, R12",0402,2,1k,C3016052
R13,0402,1,732,C137939
R14,0402,1,100k,C60491 
"R15, R16, R29, R40",0402,4,220,C112291
"R17, R18, R19",0402,3,100,C3015757 
R20,0402,1,12k,C137923
"R21, R22",0402,2,10k,
"R23, R9",0402,2,10k,C60490 
"R26, R37, R48, R49",0402,4,2k,C60488
"R27, R50",0402,2,4k99,C137965
"R28, R51",0402,2,100,C106233
"R30, R31, R32, R33, R41, R42, R43, R44",0201,8,NF,N/A
"R34, R45",0402,2,100k,C60491
"R35, R46",0402,2,33k,C138003
"R36, R47",0402,2,470,C114949 
"R5, R6",0402,2,1k,C60488 
R7,0402,1,1.18k,C3016052
R8,0402,1,1.78k,C5121514
"SW1, SW3",SW-TH_TK-6580B-1,2,TK-6580B-1,C2689829
"SW2, SW4",KEY-SMD_L3.0-W2.5-LS4.0,2,SW_DIP_x01,C2905194
"TP1, TP10, TP11, TP12, TP2, TP28, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TPL3",TestPoint_Pad_D1.0mm,14,TestPoint,
"TP13, TP14, TP15, TP17, TP18, TP19",TestPoint_Pad_D1.0mm,6,TestPoint,N/A
"TP16, TP20",TestPoint_Pad_D2.0mm,2,TestPoint,N/A
"TP21, TP22, TP23, TP24, TP25, TP26",TestPoint_THTPad_D1.0mm_Drill0.5mm,6,TestPoint,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,N/A
"U10, U9",QFN-40_L5.0-W5.0-P0.40-TL-EP3.6,2,NRF52833-QDAA-R7,C3007767
"U11, U7",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,2,MCP73831T-2ACI/OT,C424093
"U12, U8",WDFN-6_L2.0-W2.0-P0.65-BL-EP,2,XB6096I2SV,C2998744
U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24073RGT,C15220 
U3,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,1,TPS61023DRLR,C919459
"U4, U6",SOT-23-6_Handsoldering,2,SIP32509DT-T1-GE3,C335619
U5,HVQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,USB2422T-I/MJ,C622610
Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322524MOB4SI,C70590 
"Y2, Y4",CRYSTAL-SMD_L1.6-W1.0,2, X161032768KLD2SI,C383846
"Y3, Y5",CRYSTAL-SMD_4P-L2.0-W1.6-BL,2,XL7EL89CKI-111YLC-32M ,C2965582
