Designator,Mid X,Mid Y,Rotation,Layer
BT1,145.35,-103.7025,180.0,bottom
BT2,112.93,-118.5575,180.0,bottom
BT3,176.873108,-118.5575,180.0,bottom
C1,122.3475,-98.04,180.0,top
C10,130.888943,-106.233557,0.0,top
C11,157.0225,-105.32,180.0,top
C12,150.826943,-109.650057,270.0,top
C13,148.528943,-102.053557,0.0,top
C14,150.219443,-111.227557,0.0,top
C15,148.078943,-107.963557,0.0,top
C16,140.54,-98.0325,270.0,top
C17,134.58,-98.066443,270.0,top
C18,153.616943,-115.850057,90.0,top
C19,155.496943,-114.78,90.0,top
C2,168.51,-91.06,0.0,top
C20,157.41,-107.3075,270.0,top
C21,158.879443,-113.455,0.0,top
C22,159.046943,-108.435,0.0,top
C23,151.736943,-116.765057,90.0,top
C24,125.73,-142.6885,270.0,top
C25,115.4025,-143.973634,180.0,top
C26,120.396,-142.5535,270.0,top
C27,118.76,-136.513634,90.0,top
C28,118.017363,-131.351516,90.0,top
C29,117.66,-128.5775,270.0,top
C3,129.361231,-121.816345,270.0,top
C30,111.84,-127.44,180.0,top
C31,116.74,-127.6425,270.0,top
C32,119.69,-136.513634,90.0,top
C33,117.84,-136.513634,90.0,top
C34,115.669392,-137.283634,0.0,top
C35,109.666892,-129.413634,90.0,top
C36,109.636892,-133.071134,270.0,top
C37,108.125,-129.8,180.0,top
C38,115.669392,-135.423634,180.0,top
C39,115.669392,-136.353634,180.0,top
C4,140.236443,-104.263557,0.0,top
C40,109.674392,-139.583634,0.0,top
C41,114.186892,-141.903634,90.0,top
C42,109.664392,-135.193634,180.0,top
C43,176.8435,-128.762,180.0,top
C44,174.73,-131.318,270.0,top
C45,173.78,-131.318,270.0,top
C46,170.74,-137.58,180.0,top
C47,172.51,-132.0725,270.0,top
C48,176.46,-130.14,180.0,top
C49,179.2595,-132.38,180.0,top
C5,143.056443,-105.543557,0.0,top
C50,179.2645,-133.31,180.0,top
C51,180.83,-144.76,0.0,top
C52,177.9025,-140.04,0.0,top
C53,180.83,-141.47,0.0,top
C54,179.5,-134.28,0.0,top
C55,181.26,-134.8625,270.0,top
C56,180.2675,-136.77,180.0,top
C57,181.356,-132.6475,90.0,top
C58,180.34,-140.462,0.0,top
C59,168.656,-142.24,270.0,top
C6,132.738731,-124.836345,0.0,top
C60,172.8,-141.95,180.0,top
C61,163.068,-142.24,270.0,top
C63,149.657473,-150.4,0.0,bottom
C64,136.735946,-150.785954,0.0,bottom
C7,134.781231,-123.238845,90.0,top
C8,131.376443,-113.211057,270.0,top
C9,130.888943,-104.763557,0.0,top
D1,140.081443,-117.813557,180.0,top
D10,172.705,-144.393634,180.0,bottom
D11,172.75,-142.183634,180.0,bottom
D12,149.696527,-150.539046,180.0,top
D13,136.775,-150.925,180.0,top
D2,140.97,-122.315,270.0,top
D3,149.352,-122.315,90.0,top
D4,142.861443,-98.153557,180.0,top
D5,148.371443,-99.613557,180.0,top
D6,117.2,-121.76,0.0,top
D7,117.091892,-144.393634,0.0,bottom
D8,117.091892,-142.183634,0.0,bottom
D9,173.33,-126.83,0.0,top
J1,145.261443,-128.881057,0.0,top
J2,154.296443,-128.053557,180.0,bottom
J3,110.976892,-121.323634,270.0,top
J4,117.496892,-111.813634,90.0,top
J5,111.496892,-111.813634,90.0,top
J6,178.61,-121.323634,90.0,top
J7,181.318171,-111.821484,90.0,top
J8,175.358171,-111.831484,90.0,top
L1,134.73,-110.487,270.0,top
L2,109.036892,-131.253634,180.0,top
L3,108.416892,-132.956134,270.0,top
L4,180.22,-143.0825,90.0,top
L5,181.44,-143.12,270.0,top
P1,114.708943,-94.713557,270.0,top
P2,175.816443,-94.743557,90.0,top
R1,143.648943,-124.263557,0.0,top
R10,139.628943,-116.423557,0.0,top
R11,134.801231,-125.503845,90.0,top
R12,134.353731,-119.526345,180.0,top
R13,129.883943,-109.993557,180.0,top
R14,129.846443,-111.413557,0.0,top
R15,141.2925,-99.7925,0.0,top
R16,148.528943,-101.093557,180.0,top
R17,150.2375,-113.07,0.0,top
R18,151.7575,-114.15,0.0,top
R19,154.556943,-116.145057,90.0,top
R20,156.38,-107.2875,270.0,top
R21,151.769443,-115.097557,180.0,top
R22,152.676943,-116.795057,90.0,top
R23,150.009443,-116.227557,180.0,top
R24,116.744392,-119.333634,180.0,top
R25,108.25,-127.82,90.0,top
R26,117.6175,-144.29,0.0,top
R27,119.8275,-144.29,180.0,top
R28,115.4025,-144.92,0.0,top
R29,118.5285,-143.283634,180.0,top
R30,113.576892,-127.293634,90.0,top
R31,110.07,-127.57,90.0,top
R32,114.326892,-127.753634,270.0,top
R33,111.45,-128.4,0.0,top
R34,112.494392,-139.903634,180.0,top
R35,112.494392,-138.903634,0.0,top
R36,107.64,-113.9225,270.0,top
R37,113.076892,-141.883634,270.0,top
R38,173.16,-122.9775,90.0,top
R39,182.09,-115.1275,270.0,top
R4,146.906443,-129.153557,0.0,bottom
R40,176.8735,-127.762,180.0,top
R41,171.19,-136.32,180.0,top
R42,172.375,-138.938,180.0,top
R43,170.26,-134.425,270.0,top
R44,170.26,-138.42,0.0,top
R45,167.9025,-139.1,180.0,top
R46,167.9025,-138.15,0.0,top
R47,181.1,-127.4775,270.0,top
R48,181.1,-129.6975,90.0,top
R49,170.26,-144.19,180.0,top
R5,122.3975,-97.89,180.0,bottom
R50,165.1815,-144.942,0.0,top
R51,175.006,-144.685,90.0,top
R6,168.4875,-91.06,0.0,bottom
R7,130.968731,-119.436345,0.0,top
R8,129.351231,-124.263845,270.0,top
R9,130.481231,-125.496345,90.0,top
SW1,121.589392,-145.656134,0.0,bottom
SW2,116.216892,-139.303634,0.0,top
SW3,168.16,-145.656134,0.0,bottom
SW4,179.578,-129.43,90.0,top
U1,141.966443,-110.863557,90.0,top
U10,175.22,-135.84,0.0,top
U11,165.72,-142.91,270.0,top
U12,173.13,-144.01,90.0,top
U2,132.094154,-122.183557,90.0,top
U3,131.564,-108.233557,270.0,top
U4,148.501443,-105.003557,90.0,top
U5,153.98,-111.0425,270.0,top
U6,137.57,-98.5325,0.0,top
U7,122.82,-142.86,270.0,top
U8,116.199392,-142.068634,90.0,top
U9,114.396725,-131.643634,270.0,top
Y1,159.08,-110.837443,90.0,top
Y2,118.416892,-134.113634,270.0,top
Y3,109.636892,-137.353634,270.0,top
Y4,176.55,-131.47,0.0,top
Y5,180.2075,-138.58,90.0,top
